RegionName,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
Powellhurst Gilbert,1158,1143,1117,1089,1046,1011,982,965,948,933,933,941,944,951,955,964,976,987,994,1000,998,1001,999,1005,999,1001,996,980,966,958,954,957,966,982,994,1014,1021,1033,1034,1042,1057,1082,1098,1108,1120,1134,1147,1154,1154,1158,1170,1180,1193,1202,1212,1218,1228,1236,1244,1248,1252,1267,1300,1335,1367,1383,1394,1402,1411,1409,1410,1406,1400,1392,1390,1390,1394,1395,1404,1410,1411,1405,1401
Hazelwood,1121,1081,1038,994,950,916,887,863,846,835,842,849,842,845,846,855,867,887,900,912,909,898,887,892,891,904,906,904,898,890,884,885,884,884,879,886,882,900,912,925,938,950,958,966,994,1030,1056,1059,1053,1063,1075,1084,1095,1114,1136,1152,1159,1171,1184,1197,1199,1213,1245,1280,1312,1327,1335,1343,1355,1363,1370,1372,1369,1363,1358,1351,1349,1347,1353,1352,1345,1330,1323
Centennial,1148,1136,1116,1097,1069,1052,1034,1016,997,986,990,994,991,987,991,1000,1019,1040,1056,1064,1054,1036,1016,1010,1010,1023,1029,1027,1017,1008,1007,1016,1034,1052,1064,1076,1080,1094,1105,1119,1133,1142,1147,1150,1157,1164,1175,1183,1191,1199,1208,1212,1216,1221,1234,1259,1283,1307,1321,1333,1336,1337,1348,1363,1381,1387,1391,1392,1400,1407,1419,1423,1426,1426,1422,1420,1429,1439,1445,1440,1434,1429,1427
Lents,1172,1162,1136,1104,1074,1061,1057,1046,1016,991,990,1009,1018,1019,1019,1034,1049,1057,1052,1051,1043,1044,1034,1038,1028,1040,1051,1059,1054,1050,1053,1065,1091,1100,1100,1087,1088,1100,1116,1113,1125,1134,1146,1148,1153,1168,1184,1195,1198,1203,1212,1226,1236,1239,1242,1250,1265,1280,1299,1321,1328,1334,1350,1371,1393,1404,1410,1412,1418,1421,1432,1440,1440,1436,1425,1420,1420,1435,1451,1467,1475,1479,1474
Montavilla,1157,1135,1108,1080,1038,996,966,943,933,929,940,950,945,947,955,966,984,996,1005,1008,1008,1008,1012,1014,1003,997,996,998,991,986,982,1003,1011,1010,998,1011,1035,1067,1074,1055,1057,1074,1106,1122,1140,1162,1177,1182,1174,1174,1176,1193,1214,1233,1236,1230,1233,1245,1262,1267,1268,1285,1321,1360,1381,1391,1390,1396,1405,1411,1414,1412,1403,1395,1388,1386,1392,1399,1410,1411,1404,1389,1380
St.Johns,1180,1164,1115,1058,999,975,956,947,942,941,947,952,936,924,915,917,934,949,965,972,976,983,975,961,936,937,947,951,950,944,953,969,985,995,994,1006,1017,1047,1072,1085,1093,1092,1096,1106,1136,1161,1192,1211,1231,1246,1264,1278,1293,1302,1306,1309,1306,1308,1316,1322,1320,1325,1344,1380,1414,1445,1460,1469,1468,1468,1472,1479,1481,1477,1478,1483,1491,1495,1495,1487,1472,1458,1455
Northwest,1382,1379,1374,1381,1380,1371,1370,1373,1375,1365,1350,1358,1379,1396,1389,1356,1329,1326,1343,1361,1363,1357,1348,1346,1338,1340,1348,1361,1367,1368,1366,1360,1360,1366,1376,1383,1382,1375,1369,1354,1342,1330,1324,1326,1337,1354,1370,1381,1388,1388,1388,1387,1396,1412,1428,1442,1457,1483,1508,1531,1539,1553,1581,1634,1675,1702,1696,1685,1668,1642,1619,1607,1600,1594,1593,1588,1588,1582,1578,1572,1570,1571,1575
Cully,1173,1157,1135,1102,1049,996,954,935,938,942,956,963,967,976,987,997,1017,1041,1056,1057,1049,1051,1048,1046,1026,1032,1043,1055,1065,1076,1098,1121,1134,1138,1127,1132,1130,1140,1147,1151,1158,1165,1177,1187,1207,1230,1257,1272,1284,1296,1314,1326,1349,1366,1382,1388,1393,1399,1417,1446,1463,1470,1477,1498,1516,1536,1538,1547,1546,1545,1540,1541,1538,1539,1538,1540,1542,1542,1545,1544,1546,1541,1543
Brentwood-Darlington,1178,1171,1144,1102,1037,991,960,945,931,917,923,938,941,946,951,966,989,1007,1010,1010,998,1003,1007,1025,1020,1016,1007,1009,1016,1032,1037,1044,1048,1037,1017,1002,1005,1031,1058,1076,1098,1119,1135,1141,1154,1178,1199,1211,1205,1205,1214,1226,1238,1244,1255,1267,1286,1296,1315,1335,1344,1350,1369,1388,1407,1407,1410,1414,1426,1438,1447,1455,1454,1452,1448,1440,1441,1447,1466,1484,1492,1494,1492
Richmond,1116,1103,1082,1069,1046,1015,991,984,986,1000,1020,1044,1046,1058,1068,1080,1091,1102,1103,1101,1109,1123,1135,1126,1107,1093,1097,1104,1120,1139,1154,1161,1147,1136,1135,1164,1185,1202,1214,1218,1225,1226,1234,1241,1252,1265,1277,1284,1287,1295,1309,1322,1340,1361,1381,1392,1402,1401,1396,1398,1403,1422,1435,1452,1458,1471,1480,1495,1508,1515,1515,1517,1515,1519,1516,1509,1503,1498,1500,1500,1504,1506,1509
